CENSUSTRACT,ARTHRITIS,CASTHMA,BPHIGH,CANCER,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,STROKE
51710000100,0.2754195459032576,0.11994076999012833,0.37660414610069104,0.06614017769002961,0.03257650542941757,0.08144126357354393,0.06268509378084897,0.12191510365251727,0.1688055281342547,0.1416584402764067,0.03356367226061204
51710000201,0.20593493028244547,0.10010725777618877,0.28637826242402575,0.047908473364318915,0.02359671076153021,0.056846621380050054,0.04111548087236325,0.0893814801573114,0.13728995352163031,0.10690025026814444,0.02359671076153021
51710000202,0.2252096694622595,0.09743463246176616,0.3053774050320671,0.05451406018746917,0.026640355204736062,0.06487419832264431,0.05056734089787864,0.09743463246176616,0.13640848544647263,0.1144548593981253,0.026640355204736062
51710000300,0.2259921235989094,0.08966979703120266,0.3020296879733414,0.05786125416540442,0.025446834292638595,0.060587700696758555,0.049681914571342016,0.09481975159042715,0.11572250833080884,0.10390790669494093,0.02635564980308997
51710000400,0.2054519368723099,0.09210903873744619,0.27890961262553804,0.047345767575322814,0.022381635581061692,0.05767575322812052,0.042754662840746055,0.08637015781922525,0.12826398852223816,0.10416068866571018,0.022381635581061692
51710000500,0.22003129890453835,0.10359937402190923,0.2995305164319249,0.051643192488262914,0.026917057902973395,0.0676056338028169,0.048826291079812206,0.09671361502347418,0.15023474178403756,0.12050078247261346,0.026917057902973395
51710000600,0.19719222462203023,0.10280777537796976,0.2831533477321814,0.0429805615550756,0.024406047516198705,0.05982721382289417,0.042116630669546434,0.08963282937365011,0.1449244060475162,0.11123110151187905,0.024406047516198705
51710000700,0.2077713551701991,0.08831085420680797,0.26846499678869623,0.057161207450224794,0.022157996146435453,0.05073859987154785,0.04238921001926782,0.0789980732177264,0.11143224149004496,0.09120102761721259,0.02119460500963391
51710000800,0.20504731861198738,0.1056782334384858,0.2902208201892745,0.05152471083070452,0.025236593059936908,0.05573080967402734,0.04258675078864353,0.08727655099894847,0.14616193480546794,0.1056782334384858,0.023133543638275498
51710000901,0.07384987893462469,0.09650639916983743,0.15236942234520928,0.013317191283292978,0.013317191283292978,0.028363887928052577,0.011414735385679695,0.03026634382566586,0.15807679003804911,0.06900726392251816,0.00847457627118644
51710000902,0.015102122280620052,0.022353802142239372,0.03226664892555386,0.003060341959949438,0.002594637748652784,0.006386800612068392,0.002594637748652784,0.006120683919898876,0.03699022021156277,0.014836005588450536,0.0016632293260594772
51710001100,0.18809730668983493,0.12163336229365769,0.30755864465682015,0.038227628149435276,0.028236316246741965,0.06211989574283232,0.043874891398783665,0.10599478714161599,0.184622067767159,0.1259774109470026,0.02693310165073849
51710001200,0.18643252345441425,0.07986528746692326,0.24681260524416646,0.054606687515034884,0.020928554245850373,0.04354101515515997,0.039451527543901854,0.07144575414962713,0.09405821505893673,0.07818138080346404,0.020206879961510705
51710001300,0.1519916142557652,0.09049615653389238,0.23829489867225717,0.033193570929419984,0.019916142557651992,0.04332634521313766,0.031446540880503145,0.07651991614255765,0.12473794549266247,0.08630328441649196,0.019916142557651992
51710001400,0.29793510324483774,0.09476401179941003,0.38716814159292035,0.08185840707964602,0.03908554572271387,0.08296460176991151,0.07817109144542773,0.14196165191740412,0.11836283185840708,0.13126843657817108,0.04387905604719764
51710001500,0.18109499298081422,0.09078146934955546,0.2466073935423491,0.049602246139447824,0.020589611605053813,0.04398689751988769,0.036499766027140855,0.07112774918109499,0.1127749181094993,0.0832943378568086,0.019653720168460457
51710001600,0.21494370522006143,0.09877175025588536,0.34186284544524054,0.04708290685772774,0.030194472876151485,0.057318321392016376,0.0496417604912999,0.1253838280450358,0.1187308085977482,0.10747185261003071,0.03428863868986694
51710001700,0.28758486905916586,0.11008729388942774,0.38457807953443257,0.0848690591658584,0.03588748787584869,0.07177497575169738,0.07080504364694472,0.11784675072744907,0.1309408341416101,0.12318137730358875,0.03685741998060136
51710002000,0.2456953642384106,0.08211920529801324,0.30927152317880796,0.0728476821192053,0.02781456953642384,0.06026490066225165,0.05695364238410596,0.09602649006622517,0.10066225165562914,0.09867549668874172,0.02913907284768212
51710002100,0.3281907433380084,0.09396914446002805,0.4102384291725105,0.09396914446002805,0.038569424964936885,0.08134642356241234,0.08064516129032258,0.14095371669004209,0.11009817671809256,0.13113604488078542,0.04067321178120617
51710002200,0.27163323782234955,0.09512893982808023,0.3329512893982808,0.0830945558739255,0.027507163323782235,0.054441260744985676,0.052148997134670486,0.09398280802292264,0.10372492836676218,0.09742120343839542,0.02521489971346705
51710002300,0.20287081339712917,0.08325358851674641,0.25598086124401914,0.06124401913875598,0.0215311004784689,0.041626794258373206,0.038755980861244016,0.0708133971291866,0.09521531100478468,0.07751196172248803,0.018660287081339714
51710002400,0.2129049823032943,0.08467193030220528,0.26490607133133676,0.0604410563572012,0.02368635992376804,0.049006261911244214,0.04519466376259189,0.07732099101551865,0.10645249115164715,0.08766675741900354,0.021780560849441872
51710002500,0.09485442226698407,0.10437648782274309,0.18091924555942135,0.016480498077275224,0.019044131111518037,0.039919428676066654,0.021790880791063907,0.05310382713788683,0.17652444607214796,0.08350119025819447,0.015564914850759934
51710002600,0.08445475638051043,0.10672853828306264,0.17076566125290024,0.014153132250580047,0.01786542923433875,0.03921113689095128,0.01948955916473318,0.044547563805104405,0.18770301624129931,0.0863109048723898,0.012529002320185615
51710002700,0.26104417670682734,0.12115127175368139,0.43005354752342706,0.04852744310575636,0.03982597054886212,0.08165997322623829,0.06593038821954485,0.1706827309236948,0.1639892904953146,0.15227576974564927,0.049531459170013385
51710002800,0.24287894201424212,0.10122075279755849,0.34003051881993895,0.06434384537131231,0.029501525940996948,0.05595116988809766,0.050610376398779244,0.10885045778229908,0.12131230925737538,0.10350966429298067,0.029501525940996948
51710002900,0.27043052333075535,0.13405516885795307,0.4465068316576437,0.04820830110853313,0.040989945862335654,0.0871358597576695,0.0634184068058778,0.1719515339004898,0.18123227635988656,0.16395978344934262,0.04923949471513277
51710003000,0.2718556119571348,0.10772701635645798,0.3728144388042865,0.06655386350817823,0.03158488437676255,0.07106598984771574,0.0580936266215454,0.12351945854483926,0.13987591652566272,0.1263395375070502,0.032712915961646924
51710003100,0.29338284942606346,0.12086428089128967,0.44294395678595544,0.062120189061444966,0.041188386225523295,0.08845374746792707,0.07258609047940581,0.16948008102633355,0.16205266711681296,0.15563808237677246,0.04827819041188386
51710003200,0.20833333333333334,0.09571256038647342,0.3294082125603865,0.04076086956521739,0.028683574879227052,0.06310386473429952,0.04861111111111111,0.1228864734299517,0.12681159420289856,0.11564009661835749,0.03351449275362319
51710003300,0.2794063079777365,0.12207792207792208,0.4437847866419295,0.054916512059369205,0.04044526901669759,0.08163265306122448,0.06679035250463822,0.17217068645640074,0.15435992578849722,0.14953617810760667,0.04823747680890538
51710003400,0.2727680574248542,0.12068192014356213,0.44638851502916105,0.05204127411395244,0.04262000897263347,0.08613728129205922,0.07043517272319426,0.18079856437864514,0.1556751906684612,0.1556751906684612,0.05383580080753701
51710003501,0.35309090909090907,0.17272727272727273,0.5818181818181818,0.06218181818181818,0.056,0.11672727272727272,0.08690909090909091,0.23636363636363636,0.23018181818181818,0.21636363636363637,0.06945454545454545
51710003600,0.13134484563055993,0.05913134484563056,0.1826268969126112,0.043432757718472007,0.014652014652014652,0.024594453165881738,0.026164311878597593,0.049188906331763475,0.06384092098377812,0.04814233385661957,0.013605442176870748
51710003700,0.15481699621371478,0.08456037021455616,0.2103491796381994,0.03996634413125789,0.01809002944888515,0.04080774084981069,0.031131678586453514,0.05847707193941944,0.11653344551956248,0.07909129154396298,0.016407236011779555
51710003800,0.5165706051873199,0.6278818443804035,1.0652017291066282,0.13508645533141211,0.08753602305475504,0.15093659942363113,0.09546109510086455,0.1988472622478386,0.8267291066282421,0.36563400576368876,0.05547550432276657
51710004001,0.16141732283464566,0.06850393700787402,0.2047244094488189,0.049606299212598425,0.01653543307086614,0.030708661417322834,0.029921259842519685,0.05590551181102362,0.07401574803149606,0.05905511811023622,0.014173228346456693
51710004002,0.21877043819489864,0.08698495748855462,0.28351863963374757,0.06998037933289732,0.025179856115107913,0.04447351209941138,0.0487246566383257,0.07913669064748201,0.09941137998691955,0.08207979071288424,0.023217789404839765
51710004100,0.26865671641791045,0.1551334237901402,0.4360018091361375,0.03844414292175486,0.0506558118498417,0.11759384893713253,0.06603346901854365,0.18815015829941203,0.2433288104929896,0.21121664405246496,0.06151062867480778
51710004200,0.3296760710553814,0.14211076280041798,0.49843260188087773,0.05903866248693835,0.06583072100313479,0.13949843260188088,0.11128526645768025,0.24346917450365727,0.2115987460815047,0.22675026123301986,0.08725182863113898
51710004300,0.3327038086244885,0.15517784073024865,0.5310040919106075,0.06169342146679257,0.053824362606232294,0.1111111111111111,0.08372678627636135,0.221277935158955,0.20365124331129997,0.19830028328611898,0.06704438149197356
51710004400,0.22553699284009546,0.10859188544152745,0.36515513126491644,0.04713603818615752,0.03162291169451074,0.056682577565632455,0.045942720763723154,0.13066825775656324,0.12291169451073986,0.11157517899761336,0.03639618138424821
51710004500,0.251414204902577,0.10182275298554368,0.4066624764299183,0.05342551854179761,0.034569453174104335,0.061596480201131364,0.054682589566310495,0.1539912005028284,0.11125078566939033,0.11565053425518541,0.04085480829666876
51710004600,0.31645569620253167,0.1589873417721519,0.509873417721519,0.05569620253164557,0.052151898734177214,0.10987341772151898,0.08,0.20759493670886076,0.21772151898734177,0.2010126582278481,0.06430379746835443
51710004700,0.06808223795079205,0.12234580384226491,0.16413886080215706,0.012133468149646108,0.01314459049544995,0.022244691607684528,0.010111223458038422,0.03370407819346141,0.15200539265251095,0.056959892146949784,0.009437141894169195
51710004800,0.2849083215796897,0.16784203102961917,0.4703808180535966,0.04019746121297602,0.0535966149506347,0.12834978843441466,0.07193229901269393,0.20239774330042312,0.2637517630465444,0.2306064880112835,0.06629055007052186
51710004900,0.14821870832539533,0.06820346732710993,0.232806248809297,0.03886454562773862,0.01790817298533054,0.039626595542008,0.034482758620689655,0.06820346732710993,0.08763574014097923,0.07258525433415888,0.018670222899599923
51710005000,0.3407009788443322,0.14461635617303442,0.5421534575307863,0.06094095358383328,0.05683612251341964,0.1196716135143669,0.09504262709188506,0.23744868961161983,0.19734764761604043,0.20871487211872433,0.07451847173981686
51710005100,0.29745106964041873,0.14610832954028222,0.4836140191169777,0.051433773327264454,0.050523441055985434,0.10400546199362767,0.07715065999089668,0.20163859808830223,0.2048247610377788,0.19048702776513426,0.06281292671825216
51710005500,0.23575571477311497,0.10815421357898328,0.3428863868986694,0.048788809280109174,0.03036506311838963,0.07710678949164108,0.05458887751620607,0.12077789150460594,0.16274309109518936,0.13920163766632548,0.03309450699419993
51710005601,0.243456678700361,0.09205776173285199,0.3075361010830325,0.061371841155234655,0.027978339350180504,0.07220216606498195,0.05776173285198556,0.10018050541516245,0.12883574007220217,0.11890794223826714,0.029783393501805054
51710005602,0.21677215189873417,0.09309071729957806,0.29825949367088606,0.051160337552742616,0.02689873417721519,0.06460970464135021,0.05010548523206751,0.09862869198312237,0.1315928270042194,0.11366033755274262,0.027689873417721517
51710005701,0.23783998411753027,0.11296406591224935,0.38316458209251536,0.044470915227317845,0.03712527297994838,0.07782410164780623,0.058368076235854674,0.1490966845344451,0.1620011911852293,0.14711137581893985,0.04248560651181259
51710005702,0.30950510604870385,0.11547525530243519,0.4783974862529458,0.07148468185388845,0.04477611940298507,0.07973291437549096,0.07855459544383346,0.1861743912018853,0.1347211311861744,0.1429693637077769,0.05420267085624509
51710005800,0.24422026061370325,0.1176965111391341,0.3974358974358974,0.05023118957545187,0.03572929802437999,0.06851618327028162,0.05590584279108869,0.15048339638503572,0.14859184531315678,0.13114754098360656,0.042454812946616224
51710005901,0.18030488873313474,0.10075346066234449,0.29998247765901526,0.03364289469073068,0.025407394427895566,0.053267916593656914,0.03697213947783424,0.10653583318731383,0.13281934466444717,0.10653583318731383,0.027860522165761344
51710005902,0.23848101265822785,0.10784810126582278,0.34810126582278483,0.05240506329113924,0.02962025316455696,0.07215189873417721,0.05443037974683544,0.12253164556962025,0.14734177215189873,0.13063291139240507,0.03265822784810127
51710005903,0.22105263157894736,0.09806094182825485,0.3263157894736842,0.04875346260387812,0.027146814404432132,0.06537396121883657,0.050415512465373964,0.11523545706371191,0.1329639889196676,0.1185595567867036,0.029916897506925208
51710006000,0.23684210526315788,0.10265763418447107,0.3348097967691506,0.05211047420531527,0.0297029702970297,0.0737363210005211,0.05419489317352788,0.11750911933298593,0.14356435643564355,0.12871287128712872,0.032569046378322045
51710006100,0.24918204423504778,0.11241984033503469,0.37783012694673473,0.05365789818086638,0.032456484753304544,0.07394320115168172,0.056667975395890594,0.13375212668498887,0.15299044627666536,0.13571522052087423,0.03546656196832875
51710006200,0.2719626168224299,0.11214953271028037,0.39034267912772586,0.0616822429906542,0.03489096573208723,0.08348909657320873,0.0660436137071651,0.13800623052959501,0.15638629283489097,0.1442367601246106,0.04018691588785047
51710006400,0.28797846889952156,0.11363636363636363,0.4428827751196172,0.06369617224880383,0.03917464114832536,0.07745215311004784,0.06848086124401914,0.1674641148325359,0.13516746411483255,0.13815789473684212,0.04694976076555024
51710006501,0.2329268292682927,0.12357723577235773,0.34796747967479674,0.0459349593495935,0.03048780487804878,0.08089430894308942,0.05365853658536585,0.11707317073170732,0.18699186991869918,0.14878048780487804,0.03170731707317073
51710006502,0.17522658610271905,0.07794561933534744,0.24471299093655588,0.04138972809667674,0.021148036253776436,0.04833836858006042,0.038066465256797584,0.07854984894259819,0.10513595166163142,0.08882175226586103,0.0202416918429003
51710006601,0.32576985413290116,0.11507293354943274,0.42301458670988656,0.08265802269043761,0.03727714748784441,0.09076175040518639,0.07617504051863858,0.13776337115072934,0.15721231766612642,0.1507293354943274,0.03889789303079417
51710006602,0.2728744939271255,0.09797570850202429,0.3360323886639676,0.07611336032388664,0.03076923076923077,0.07611336032388664,0.06315789473684211,0.10890688259109312,0.12834008097165991,0.12267206477732794,0.031578947368421054
51710006603,0.32095238095238093,0.10857142857142857,0.4114285714285714,0.08666666666666667,0.03666666666666667,0.0880952380952381,0.07904761904761905,0.1380952380952381,0.14523809523809525,0.1438095238095238,0.039047619047619046
51710006604,0.20402053036783577,0.08340461933276304,0.27844311377245506,0.04918733960650128,0.02523524379811805,0.05902480752780154,0.04790419161676647,0.09452523524379812,0.11505560307955517,0.10521813515825491,0.026090675791274595
51710006605,0.2411399342345634,0.09462915601023018,0.32225063938618925,0.06832298136645963,0.028132992327365727,0.059554256485202774,0.05663134819145049,0.10266715381804896,0.11728169528681037,0.10339788089148703,0.028132992327365727
51710006606,0.25220236597029955,0.1062169645104455,0.35841933048074504,0.06519003272086585,0.031462371004278886,0.0672036244651397,0.059904354392146995,0.11980870878429399,0.13465894789831362,0.11880191291215705,0.03246916687641581
51710006607,0.2723905723905724,0.09797979797979799,0.3784511784511784,0.0723905723905724,0.03265993265993266,0.06835016835016836,0.0632996632996633,0.13063973063973064,0.12154882154882155,0.11952861952861953,0.03468013468013468
51710006800,0.26670409882088714,0.10106681639528355,0.35485682201010665,0.06737787759685569,0.031443009545199324,0.0763615946097698,0.06232453677709152,0.12071869736103313,0.13700168444693991,0.12857944974733296,0.033688938798427846
51710006901,0.24721957419764856,0.11725452812202097,0.3775023832221163,0.05687956784238958,0.031140768986336193,0.06355258976803305,0.05052430886558627,0.1290117572291071,0.14299332697807435,0.12138544645694312,0.03336510962821735
51710006902,0.28404255319148936,0.0950354609929078,0.36950354609929076,0.08049645390070923,0.03404255319148936,0.0726950354609929,0.06879432624113475,0.12198581560283688,0.11524822695035461,0.11843971631205674,0.03687943262411347
51710007001,0.12453825857519789,0.09129287598944591,0.21477572559366753,0.025329815303430078,0.016358839050131926,0.03271767810026385,0.021108179419525065,0.06015831134564644,0.11715039577836411,0.07282321899736148,0.0158311345646438
51710007002,0.30444383107921613,0.11399392768423958,0.4487993375655534,0.07176373171404914,0.04112613855920508,0.08363234888214187,0.0767319900634833,0.17195694176097157,0.13359094672922991,0.1424234060171129,0.04913055478884902
51710980100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710980200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710980300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51710990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
