"TractFIPS","Strava.Trips.Prct.x","NAME","PHLTH_CrudePrev","MHLTH_CrudePrev","DIABETES_CrudePrev","BPHIGH_CrudePrev","OBESITY_CrudePrev","population2010","Strava.Trips","Race.Is.White","Race.Is.Black","Scandanavian","College.Education","High.School.Education","Median.Income","Work.From.Home","Owns.2.Vehicles","Parents.Are.Married","Mother.Is.Not.Married.A","Mother.Is.Not.Married.B","Population","Bike.To.Work","MR1","MR3","MR2"
"51710000100",11.3327674023769,"Census Tract 1, Norfolk city, Virginia",10.7,11.2,8.5,28.6,29.4,2356,267,1574,718,0,229,457,26609,0,468,356,356,33,2346,26,0.372580451785295,-0.121378162641702,1.30268583963434
"51710000202",3.69604548979064,"Census Tract 2.02, Norfolk city, Virginia",12.1,12.5,9.1,29,30.7,3869,143,2652,661,0,119,923,26675,36,837,505,505,70,3996,27,0.47008793705624,0.340341719236885,-0.563415581148546
"51710000300",8.84422110552764,"Census Tract 3, Norfolk city, Virginia",12.1,11.8,9.9,32,29.9,2985,264,1829,896,0,335,580,34096,43,875,395,395,82,3251,17,0.276215742261259,1.06997893087877,0.211310910507515
"51710000400",4.19623572971305,"Census Tract 4, Norfolk city, Virginia",10.8,11.6,8.1,27.8,29.7,3241,136,2186,984,0,427,724,34071,56,1049,569,569,14,3551,9,1.0342235122027,1.34842590239924,-1.29530906392494
"51710000500",7.04181075133606,"Census Tract 5, Norfolk city, Virginia",11,12,8.2,26.5,29.2,3181,224,2250,585,0,208,649,28686,6,470,534,534,111,3154,58,0.515043478906985,-0.785560977773328,-0.271086995232231
"51710000700",8.03072625698324,"Census Tract 7, Norfolk city, Virginia",9.6,10.4,7.8,27,26.6,2864,230,2016,474,0,185,467,34899,7,524,424,424,0,2561,7,0.955256226947251,0.968707638545909,0.364664071247734
"51710000800",10.6506024096386,"Census Tract 8, Norfolk city, Virginia",9.5,11.3,7.1,24.2,27.2,2075,221,1232,502,0,71,403,30021,16,653,409,409,64,2163,24,0.917791229662736,-0.393837433445756,0.641734182165297
"51710000902",12.5953120587405,"Census Tract 9.02, Norfolk city, Virginia",5.7,11.2,2.2,10.4,21.9,3541,446,10517,3415,0,105,806,22087,4578,304,385,385,0,1471,236,1.37879180325677,2.13658146997693,1.29345476913421
"51710001100",4.04936367142306,"Census Tract 11, Norfolk city, Virginia",9.9,12.4,7.3,23.6,26.9,2593,105,1126,1025,0,72,504,22843,0,423,343,343,219,2978,64,1.21984171660728,-0.87184486828121,-0.757692778945885
"51710001200",9.62750716332378,"Census Tract 12, Norfolk city, Virginia",9.9,10.1,8.2,29.4,27,3490,336,2703,1008,0,615,557,32125,148,991,764,764,83,4105,49,0.142436426943598,0.57933504410601,0.397573051574873
"51710001300",8.8309503784693,"Census Tract 13, Norfolk city, Virginia",10,12.1,8,26.7,30.6,2378,210,1301,849,0,80,562,25933,18,498,251,251,60,2490,8,1.10973356787103,0.93681473299505,0.838182072186725
"51710001500",13.1328320802005,"Census Tract 15, Norfolk city, Virginia",7.8,9.3,6.4,24.4,24.4,1995,262,1165,658,0,335,187,35342,2,635,407,407,8,2001,23,1.28938304857529,0.349516135749507,0.822463630642664
"51710001700",9.88423864648264,"Census Tract 17, Norfolk city, Virginia",11.4,10.5,10,33.9,28.4,2246,222,1345,1004,0,253,328,27466,70,401,378,378,84,2445,8,-0.363245606573253,0.650681996830663,1.48071370454287
"51710002200",14.1732283464567,"Census Tract 22, Norfolk city, Virginia",7.9,7.8,7.4,30.4,23.9,1905,270,1597,188,7,477,110,47601,58,548,442,442,0,1896,14,0.416213167219589,1.2307380726834,1.35158945102784
"51710002400",9.88153712799769,"Census Tract 24, Norfolk city, Virginia",7.6,8.1,6.2,26.8,22.5,3461,342,3644,98,0,846,89,37917,153,1351,810,810,18,3878,106,0.172831224984486,-0.304162135457893,0.548485327273635
"51710002600",10.6910039113429,"Census Tract 26, Norfolk city, Virginia",8.7,14.8,3.8,16.1,25.3,3835,410,2256,2049,0,305,171,6314,49,541,151,151,18,3097,58,2.14086653216575,0.00899042912191522,1.90321316638367
"51710002700",12.2068965517241,"Census Tract 27, Norfolk city, Virginia",18.2,16.7,17.2,41.4,43.5,2900,354,316,2431,0,13,521,13623,7,385,303,303,169,2929,29,-1.01352022061199,-1.08376817606596,0.58694766252291
"51710002900",8.83463377800151,"Census Tract 29, Norfolk city, Virginia",16.7,16.2,15.5,40.8,43.1,3973,351,462,2895,0,120,690,21395,0,537,300,300,265,3594,50,-1.16855750691715,-0.712592826724098,0.741579431849747
"51710003100",2.9204107830552,"Census Tract 31, Norfolk city, Virginia",15.5,14.2,14.6,38.5,38,3116,91,741,1615,0,144,532,22426,16,404,333,333,0,2751,103,-1.11824980959414,-3.00149917613876,-1.12010717060117
"51710003200",1.70325510976533,"Census Tract 32, Norfolk city, Virginia",13.2,13,13.1,37.6,38,2642,45,565,2125,0,22,708,20145,16,551,229,229,25,2949,27,-0.394946710522626,-0.104167323755963,-0.141279372454438
"51710003400",2.56286266924565,"Census Tract 34, Norfolk city, Virginia",17.7,15.5,18.1,45.6,44,2068,53,240,2101,0,78,370,18900,11,249,180,180,290,2402,13,-0.958676364468645,-0.095685176898992,-1.28801534114684
"51710003501",4.44574436969874,"Census Tract 35.01, Norfolk city, Virginia",15.6,15.1,15.9,43.5,42.3,3419,152,122,2589,0,52,672,14231,23,245,153,153,159,2926,23,-1.28834924449206,-0.262080501183096,1.03239041642766
"51710003600",21.5917464996315,"Census Tract 36, Norfolk city, Virginia",7,7.8,6.6,26.7,22.9,1357,293,1267,148,0,500,80,50417,29,451,242,242,0,1516,21,1.9051452494616,1.64959589688879,1.23187392380121
"51710003700",21.4681440443213,"Census Tract 37, Norfolk city, Virginia",7.1,9.1,4.9,21.1,23.4,2166,465,1684,216,0,321,170,38652,34,646,226,226,0,2144,58,1.54502808900396,-0.276790285398875,3.15309121584779
"51710004100",7.83637259733859,"Census Tract 41, Norfolk city, Virginia",23.7,23.5,17.6,43.1,50.3,2029,159,64,1856,0,9,260,9882,12,10,14,14,52,1963,4,-1.20252075711754,-0.507307763600011,-0.333372531756801
"51710004200",8.31422018348624,"Census Tract 42, Norfolk city, Virginia",26.4,21.5,23.5,51.9,49,1744,145,50,1525,0,30,207,12342,0,52,20,20,70,1433,14,-1.64806222356434,-1.47101647407338,-1.39709541885809
"51710004300",1.51471849099743,"Census Tract 43, Norfolk city, Virginia",20.7,18.4,19.3,47.3,46.1,3499,53,48,2549,0,42,426,14268,13,330,94,94,88,2809,17,-1.29683971664263,-0.37699421987927,-1.46797060307433
"51710004400",3.01369863013699,"Census Tract 44, Norfolk city, Virginia",11.8,11.9,13.2,39.5,37,1460,44,132,1319,0,47,254,25472,6,190,122,122,13,1509,43,-1.11011136105841,-1.69703431322218,0.758852066327878
"51710004500",1.96506550218341,"Census Tract 45, Norfolk city, Virginia",11.5,10.4,15,43,37,1374,27,20,1554,0,160,280,21830,26,169,266,266,103,1713,0,-0.687761088764482,0.77663550955354,-0.220059439597485
"51710004600",0.820793433652531,"Census Tract 46, Norfolk city, Virginia",17.8,17.2,16.3,41.5,43.6,2193,18,192,1663,0,23,317,16543,5,196,118,118,81,1954,17,-0.640665401535067,-0.458788819975281,-1.55160427235356
"51710004800",11.4122681883024,"Census Tract 48, Norfolk city, Virginia",26.4,25.6,18.8,44.5,52.4,1402,160,4,1150,0,0,186,8370,0,48,30,30,20,1195,12,-1.81141980194984,-2.17104729380818,0.417697616959386
"51710004900",10.1781170483461,"Census Tract 49, Norfolk city, Virginia",8.4,9,7.5,28.5,27.6,3930,400,2669,1375,7,999,551,40000,76,760,404,404,0,2915,36,1.43868322429644,2.14824902948128,0.282711129104477
"51710005000",4.79975542647508,"Census Tract 50, Norfolk city, Virginia",18,15.6,19,45.5,44.7,3271,157,73,3343,0,12,859,13596,32,243,248,248,184,3510,33,-0.980218456613962,-0.621682969353664,-0.949105436880296
"51710005100",2.96329057938965,"Census Tract 51, Norfolk city, Virginia",17.3,16.6,16.3,43,43.7,4522,134,294,4309,0,100,903,16105,122,589,399,399,182,5195,86,-1.46770570113604,-1.11057752105198,-0.449273695590999
"51710005500",8.82661996497373,"Census Tract 55, Norfolk city, Virginia",12.8,13.4,10.1,30.8,33.4,2855,252,1642,1514,0,16,1144,22805,84,471,525,525,265,3824,30,-0.121106885131231,-0.121351181853017,0.460668193788925
"51710005601",3.82882882882883,"Census Tract 56.01, Norfolk city, Virginia",12.1,11.8,9.4,30.5,28.7,3996,153,3457,602,0,140,1047,26712,80,1083,757,757,90,4435,0,0.0908117817768694,0.645643728789855,-0.380832226350907
"51710005701",1.00793480591894,"Census Tract 57.01, Norfolk city, Virginia",15.5,14.9,13.8,38,40.2,4663,47,1464,3168,0,126,1068,21039,0,646,464,464,137,5278,64,-0.560258850841891,-0.549451292504587,-1.12048910666662
"51710005702",1.22982321291314,"Census Tract 57.02, Norfolk city, Virginia",12.3,10.7,15.4,43.3,34.8,2602,32,555,1810,0,165,419,25810,48,351,367,367,56,2435,28,-1.0343217562369,-0.294171774669275,-0.48184411936087
"51710005902",2.66188891732787,"Census Tract 59.02, Norfolk city, Virginia",13,13.1,10.9,32.6,32.4,3907,104,1401,1625,0,107,695,27797,23,718,537,537,148,3694,64,-0.262831038608917,-0.948127302996546,-0.795906451903558
"51710005903",7.20887245841035,"Census Tract 59.03, Norfolk city, Virginia",11.2,11.5,10.2,30.8,31,1623,117,649,786,0,32,491,26415,3,404,225,225,36,1658,14,0.437781041416703,-0.169469016618736,0.345692785210518
"51710006000",1.14589155953046,"Census Tract 60, Norfolk city, Virginia",13,13,10.8,32.2,32.7,3578,41,2029,1426,8,118,1146,22813,44,673,476,476,169,3770,0,0.403248142363405,0.73057413146014,-1.18316579204565
"51710006100",1.93798449612403,"Census Tract 61, Norfolk city, Virginia",12.5,12.7,11.3,32.6,34.1,7740,150,3629,3624,0,192,1412,23805,14,1966,1053,1053,279,7842,81,0.0925018036243359,-0.109224495654359,-1.0390883790259
"51710006200",1.36157337367625,"Census Tract 62, Norfolk city, Virginia",12,11.9,10.9,33.3,31.9,3305,45,1637,1012,0,90,903,28256,38,778,419,419,101,2820,15,0.0753117930372919,0.28199671764984,-0.868288662714375
"51710006501",7.68945022288262,"Census Tract 65.01, Norfolk city, Virginia",13.8,15,9.5,29.7,35.2,2692,207,1797,1214,0,180,550,20160,49,365,257,257,79,3318,0,0.558850483443068,1.07476487097206,0.0878188958509674
"51710006601",2.76625172890733,"Census Tract 66.01, Norfolk city, Virginia",12.7,11.7,10.2,33.2,30.9,723,20,487,439,0,16,166,34839,17,220,205,205,0,993,3,-0.478541985534721,-0.0681265621939861,-0.72001320117671
"51710006602",0.901269971323228,"Census Tract 66.02, Norfolk city, Virginia",11.3,10.7,9.4,30.6,26.5,2441,22,2279,52,0,103,592,30504,21,517,534,534,13,2523,14,0.0706870837228307,-0.0946810164849448,-1.22779744934469
"51710006603",1,"Census Tract 66.03, Norfolk city, Virginia",11.9,10.8,10.3,32.8,27.6,2400,24,1803,297,0,128,590,25735,28,433,474,474,78,2505,21,-0.285819662961696,-0.377732414624094,-0.820368730864359
"51710006605",5.65119760479042,"Census Tract 66.05, Norfolk city, Virginia",10.3,10.1,9.3,30.9,27.1,2672,151,1623,647,0,246,416,32320,19,1028,433,433,64,2745,0,0.587350366724088,1.2532224585665,-0.151675144626605
"51710006607",3.5973597359736,"Census Tract 66.07, Norfolk city, Virginia",11.1,10.2,11,34.4,27.9,3030,109,1480,852,0,219,679,28216,35,593,529,529,23,2876,19,-0.221644456331352,0.134991608901525,-0.239351782712472
"51710007001",7.97427652733119,"Census Tract 70.01, Norfolk city, Virginia",8.6,11.7,6.7,23.6,31.2,1555,124,473,1007,0,63,227,23372,0,375,219,219,74,1554,4,1.56104573291031,0.636560019326832,0.582932512970748
"51710007002",3.39983141331835,"Census Tract 70.02, Norfolk city, Virginia",13.7,11.7,15.5,42.9,35.4,3559,121,1136,1994,0,165,689,21424,48,571,517,517,93,3649,10,-1.06236625101824,0.207805432214536,-0.00411727862526192
